# Метеостанция Черняховск, Россия, WMO_ID=26711, выборка с 21.05.2024 по 27.05.2025, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26711&lang=ru
#
"Местное время в Черняховске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.05.2025 03:00";"5.1";"756.0";"";"";"97";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 02:00";"6.4";"756.0";"";"";"95";"Ветер, дующий с юго-востока";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 00:00";"8.1";"757.0";"";"";"82";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 23:00";"12.2";"757.0";"";"";"62";"Ветер, дующий с юго-востока";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 22:00";"12.8";"757.0";"";"";"61";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 21:00";"14.7";"757.0";"";"";"54";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 20:00";"17.3";"757.0";"";"";"44";"Ветер, дующий с юго-востока";"1";"7";"";"10%  или менее, но не 0";" ";"";"";"";"20.7";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"25.05.2025 19:00";"18.8";"757.0";"";"";"38";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 18:00";"20.3";"757.0";"";"";"35";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 17:00";"20.4";"757.0";"";"";"34";"Ветер, дующий с юга";"2";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"25.05.2025 16:00";"20.4";"758.0";"";"";"33";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 15:00";"19.2";"758.0";"";"";"35";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 14:00";"19.7";"758.0";"";"";"35";"Ветер, дующий с юга";"2";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 13:00";"19.7";"759.0";"";"";"33";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 12:00";"18.3";"759.0";"";"";"40";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 11:00";"18.4";"759.0";"";"";"45";"Ветер, дующий с юга";"2";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 09:00";"15.4";"760.0";"";"";"65";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 08:00";"13.1";"760.0";"";"";"80";"Ветер, дующий с юга";"1";"3";"";"Облаков нет.";" ";"";"";"3.4";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"25.05.2025 06:00";"7.4";"760.0";"";"";"100";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 05:00";"3.5";"760.0";"";"";"100";"Штиль, безветрие";"0";"1";"";"";" ";"";"";"3.4";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"25.05.2025 04:00";"4.0";"760.0";"";"";"100";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 03:00";"4.1";"760.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 02:00";"5.1";"760.0";"";"";"100";"Штиль, безветрие";"0";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.05.2025 00:00";"6.2";"760.0";"";"";"97";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 23:00";"9.0";"760.0";"";"";"88";"Ветер, дующий с юго-востока";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 22:00";"10.6";"760.0";"";"";"81";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 21:00";"12.1";"759.0";"";"";"72";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 20:00";"13.4";"759.0";"";"";"68";"Ветер, дующий с востока";"1";"5";"";"90  или более, но не 100%";" ";"";"";"";"17.5";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"24.05.2025 19:00";"13.5";"759.0";"";"";"68";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 18:00";"14.5";"759.0";"";"";"56";"Ветер, дующий с востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 17:00";"15.3";"759.0";"";"";"59";"Ветер, дующий с юго-востока";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"24.05.2025 15:00";"15.1";"759.0";"";"";"60";"Ветер, дующий с юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 14:00";"16.4";"758.0";"";"";"60";"Ветер, дующий с востока";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 13:00";"16.0";"759.0";"";"";"54";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 12:00";"17.4";"759.0";"";"";"37";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 11:00";"15.9";"759.0";"";"";"49";"Ветер, дующий с северо-запада";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 10:00";"14.9";"759.0";"";"";"57";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 09:00";"14.6";"759.0";"";"";"62";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 08:00";"13.7";"759.0";"";"";"73";"Штиль, безветрие";"0";"2";"";"60%.";" ";"";"";"6.0";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"24.05.2025 07:00";"10.2";"759.0";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 06:00";"7.6";"759.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 05:00";"6.3";"759.0";"";"";"100";"Штиль, безветрие";"0";"1";"";"";" ";"";"";"6.0";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"24.05.2025 02:00";"7.5";"759.0";"";"";"94";"Штиль, безветрие";"0";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.05.2025 00:00";"10.0";"759.0";"";"";"75";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 23:00";"10.5";"759.0";"";"";"74";"Ветер, дующий с востока";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 22:00";"11.2";"759.0";"";"";"71";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 21:00";"11.9";"759.0";"";"";"71";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 20:00";"13.2";"758.0";"";"";"64";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 19:00";"13.2";"758.0";"";"";"64";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 18:00";"14.2";"757.0";"";"";"55";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 17:00";"14.9";"757.0";"";"";"47";"Ветер, дующий с запада";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"23.05.2025 16:00";"16.0";"757.0";"";"";"47";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 15:00";"14.2";"757.0";"";"";"52";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 14:00";"15.2";"757.0";"";"";"50";"Ветер, дующий с запада";"1";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 13:00";"14.5";"757.0";"";"";"53";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 12:00";"13.5";"756.0";"";"";"56";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 11:00";"12.5";"756.0";"";"";"62";"Ветер, дующий с запада";"1";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 09:00";"12.3";"755.0";"";"";"63";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 08:00";"11.5";"755.0";"";"";"75";"Ветер, дующий с запада";"2";"5";"";"70 – 80%.";" ";"";"";"9.6";"";"";"";"";"";"";"20.0";"";"0.4";"12";"";"";"";"";
"23.05.2025 06:00";"9.7";"754.0";"";"";"90";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 05:00";"9.9";"754.0";"";"";"97";"Ветер, дующий с юго-запада";"1";"4";"";"";" ";"";"";"9.9";"";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"23.05.2025 03:00";"11.1";"753.0";"";"";"98";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 02:00";"11.4";"752.0";"";"";"98";"Ветер, дующий с юга";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 01:00";"11.7";"752.0";"";"";"96";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.05.2025 00:00";"11.8";"752.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 23:00";"12.0";"752.0";"";"";"92";"Ветер, дующий с юга";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 22:00";"12.2";"752.0";"";"";"92";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 21:00";"11.8";"753.0";"";"";"90";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 20:00";"12.7";"752.0";"";"";"84";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 19:00";"12.7";"752.0";"";"";"84";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 18:00";"12.9";"752.0";"";"";"81";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 17:00";"16.2";"752.0";"";"";"64";"Ветер, дующий с юго-запада";"2";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"22.05.2025 15:00";"16.1";"752.0";"";"";"59";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 14:00";"17.9";"752.0";"";"";"71";"Ветер, дующий с запада";"2";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 13:00";"19.0";"751.0";"";"";"54";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 12:00";"19.1";"751.0";"";"";"62";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 11:00";"18.9";"751.0";"";"";"67";"Ветер, дующий с юга";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 09:00";"15.4";"751.0";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 08:00";"11.5";"751.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 07:00";"11.5";"751.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 06:00";"9.0";"751.0";"";"";"100";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 05:00";"6.7";"751.0";"";"";"100";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"6.1";"";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"22.05.2025 04:00";"6.7";"750.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 03:00";"8.3";"751.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 02:00";"7.7";"751.0";"";"";"100";"Штиль, безветрие";"0";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.05.2025 00:00";"9.8";"751.0";"";"";"100";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 23:00";"9.6";"752.0";"";"";"99";"Штиль, безветрие";"0";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 22:00";"10.3";"752.0";"";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 21:00";"10.8";"752.0";"";"";"90";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 20:00";"14.1";"752.0";"";"";"80";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 19:00";"14.1";"752.0";"";"";"80";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 18:00";"16.6";"751.0";"";"";"77";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 17:00";"16.6";"751.0";"";"";"74";"Ветер, дующий с юга";"5";"12";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"21.05.2025 16:00";"22.4";"751.0";"";"";"43";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 15:00";"21.9";"752.0";"";"";"43";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 14:00";"22.4";"753.0";"";"";"42";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 13:00";"22.4";"753.0";"";"";"42";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 12:00";"21.1";"753.0";"";"";"45";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 11:00";"20.0";"753.0";"";"";"50";"Ветер, дующий с запада";"3";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 09:00";"17.0";"753.0";"";"";"55";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 08:00";"10.9";"753.0";"";"";"78";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 07:00";"10.9";"753.0";"";"";"78";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 06:00";"8.5";"753.0";"";"";"90";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 05:00";"7.6";"753.0";"";"";"98";"Ветер, дующий с юга";"1";"1";"";"";" ";"";"";"6.1";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"21.05.2025 04:00";"6.3";"754.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 03:00";"6.6";"754.0";"";"";"99";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 02:00";"6.8";"754.0";"";"";"98";"Штиль, безветрие";"0";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 01:00";"7.0";"754.0";"";"";"98";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.05.2025 00:00";"6.6";"754.0";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.05.2025 23:00";"9.1";"754.0";"";"";"83";"Штиль, безветрие";"0";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.05.2025 20:00";"14.3";"755.0";"";"";"55";"Ветер, дующий с запада";"1";"10";"";"90  или более, но не 100%";" ";"";"";"";"21.2";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"20.05.2025 19:00";"16.6";"755.0";"";"";"43";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
