# Метеостанция Усть-Нера, Россия, WMO_ID=24585, выборка с 21.05.2024 по 27.05.2025, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=24585&lang=ru
#
"Местное время в Усть-Нере";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.05.2025 16:00";"21.7";"706.4";"749.9";"-1.4";"22";"Ветер, дующий с запада";"3";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.8";"";"";"";"";"";"";
"26.05.2025 13:00";"20.6";"707.8";"751.5";"-0.9";"26";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"0.2";"";"";"";"";"";"";
"26.05.2025 10:00";"16.7";"708.7";"753.1";"-0.6";"34";"Ветер, дующий с запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"0.8";"";"";"";"";"";"";
"26.05.2025 07:00";"11.5";"709.3";"754.5";"1.2";"47";"Ветер, дующий с западо-юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"8.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"0.6";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"6.0";"";"";
"26.05.2025 04:00";"10.0";"708.1";"753.6";"1.1";"57";"Ветер, дующий с западо-юго-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"1.7";"";"";"";"";"";"";
"26.05.2025 01:00";"12.6";"707.0";"751.9";"2.2";"49";"Ветер, дующий с запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"2.2";"";"";"";"";"";"";
"25.05.2025 22:00";"9.6";"704.8";"750.1";"0.8";"51";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.1";"";"";"";"";"";"";
"25.05.2025 19:00";"20.9";"704.0";"747.5";"0.2";"15";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"23.7";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-6.7";"Осадков нет";"12";"";"";"";"";
"25.05.2025 16:00";"22.1";"703.8";"747.1";"-0.7";"14";"Ветер, дующий с запада";"2";"";"10";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-6.9";"";"";"";"";"";"";
"25.05.2025 13:00";"22.4";"704.5";"747.7";"-1.0";"15";"Ветер, дующий с западо-юго-запада";"3";"";"10";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-5.4";"";"";"";"";"";"";
"25.05.2025 10:00";"19.5";"705.5";"749.3";"-0.7";"20";"Ветер, дующий с западо-юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-4.2";"";"";"";"";"";"";
"25.05.2025 07:00";"12.9";"706.2";"751.0";"0.2";"41";"Ветер, дующий с западо-юго-запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"2.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"3.0";"";"";
"25.05.2025 04:00";"3.5";"706.0";"752.5";"0.0";"81";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"0.5";"";"";"";"";"";"";
"25.05.2025 01:00";"6.7";"706.0";"751.8";"0.1";"69";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"1.4";"";"";"";"";"";"";
"24.05.2025 22:00";"15.1";"705.9";"750.4";"-0.1";"37";"Ветер, дующий с западо-северо-запада";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"0.3";"";"";"";"";"";"";
"24.05.2025 19:00";"19.5";"706.0";"749.8";"-0.7";"25";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"23.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-1.0";"Осадков нет";"12";"";"";"";"";
"24.05.2025 16:00";"21.6";"706.7";"750.2";"-1.5";"20";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-2.4";"";"";"";"";"";"";
"24.05.2025 13:00";"21.4";"708.2";"751.9";"-1.8";"22";"Ветер, дующий с юго-востока";"2";"";"";"50%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-1.4";"";"";"";"";"";"";
"24.05.2025 10:00";"19.1";"710.0";"754.2";"-1.6";"27";"Ветер, дующий с востоко-северо-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.4";"";"";"";"";"";"";
"24.05.2025 07:00";"12.1";"711.6";"756.9";"-0.4";"43";"Ветер, дующий с востоко-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"4.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.1";"Осадков нет";"12";"Поверхность почвы влажная.";"2.0";"";"";
"24.05.2025 04:00";"5.2";"712.0";"758.5";"0.0";"66";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.7";"";"";"";"";"";"";
"24.05.2025 01:00";"11.3";"712.0";"757.5";"0.0";"45";"Ветер, дующий с востоко-северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-0.4";"";"";"";"";"";"";
"23.05.2025 22:00";"15.6";"712.0";"756.7";"0.4";"31";"Ветер, дующий с востока";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-1.5";"";"";"";"";"";"";
"23.05.2025 19:00";"19.5";"711.6";"";"0.3";"22";"Ветер, дующий с востоко-северо-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"23.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-2.8";"Осадков нет";"12";"";"";"";"";
"23.05.2025 16:00";"23.2";"711.3";"754.9";"-0.9";"14";"Ветер, дующий с северо-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-5.7";"";"";"";"";"";"";
"23.05.2025 13:00";"21.5";"712.2";"756.1";"-0.7";"16";"Ветер, дующий с востоко-северо-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-5.7";"";"";"";"";"";"";
"23.05.2025 10:00";"";"712.9";"757.4";"-0.6";"";"Ветер, дующий с юга";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-4.4";"";"";"";"";"";"";
"23.05.2025 07:00";"9.2";"713.5";"759.4";"0.6";"45";"Ветер, дующий с востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"-0.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-2.3";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"23.05.2025 04:00";"-0.5";"712.9";"760.4";"0.9";"82";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-3.3";"";"";"";"";"";"";
"23.05.2025 01:00";"2.4";"712.0";"759.0";"0.9";"71";"Ветер, дующий с запада";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-2.3";"";"";"";"";"";"";
"22.05.2025 22:00";"8.6";"711.1";"757.0";"0.6";"49";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-1.6";"";"";"";"";"";"";
"22.05.2025 19:00";"20.1";"710.5";"754.6";"-0.3";"16";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"21.2";"";"";"";"";"";"50.0";"-6.3";"Осадков нет";"12";"";"";"";"";
"22.05.2025 16:00";"20.7";"710.8";"754.8";"-1.1";"15";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-6.7";"";"";"";"";"";"";
"22.05.2025 13:00";"18.9";"711.9";"756.2";"-1.1";"17";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-7.0";"";"";"";"";"";"";
"22.05.2025 10:00";"16.3";"713.0";"757.8";"-1.1";"20";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-6.7";"";"";"";"";"";"";
"22.05.2025 07:00";"8.8";"714.1";"760.1";"0.0";"35";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"-2.0";"";"";"";"";"";"";"50.0";"-5.9";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"22.05.2025 04:00";"-1.3";"714.1";"761.9";"1.1";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-4.9";"";"";"";"";"";"";
"22.05.2025 01:00";"2.6";"713.0";"760.1";"0.7";"59";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-4.7";"";"";"";"";"";"";
"21.05.2025 22:00";"9.4";"712.3";"758.1";"0.9";"34";"Ветер, дующий с северо-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-5.7";"";"";"";"";"";"";
"21.05.2025 19:00";"17.5";"711.4";"755.9";"0.2";"17";"Ветер, дующий с юго-юго-востока";"2";"";"";"60%.";" ";"";"";"";"20.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-7.8";"Осадков нет";"12";"";"";"";"";
"21.05.2025 16:00";"19.5";"711.2";"755.4";"-0.5";"14";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-8.5";"";"";"";"";"";"";
"21.05.2025 13:00";"18.1";"711.7";"756.1";"-0.9";"17";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-7.7";"";"";"";"";"";"";
"21.05.2025 10:00";"15.0";"712.6";"757.5";"-0.9";"18";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-9.2";"";"";"";"";"";"";
"21.05.2025 07:00";"7.1";"713.5";"759.8";"0.6";"34";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"1.6";"";"";"";"";"";"";"50.0";"-7.8";"Осадков нет";"12";"Поверхность почвы влажная.";"-1.0";"";"";
"21.05.2025 04:00";"1.7";"712.9";"760.1";"0.9";"52";"Ветер, дующий с востоко-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-7.1";"";"";"";"";"";"";
"21.05.2025 01:00";"6.5";"712.0";"758.2";"1.2";"34";"Ветер, дующий с востоко-северо-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-8.4";"";"";"";"";"";"";
"20.05.2025 22:00";"10.3";"710.8";"756.4";"0.9";"26";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-8.4";"";"";"";"";"";"";
"20.05.2025 19:00";"17.4";"709.9";"754.3";"-0.1";"15";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"18.1";"";"";"";"";"";"50.0";"-9.6";"Осадков нет";"12";"";"";"";"";
"20.05.2025 16:00";"17.6";"710.0";"754.3";"-0.8";"15";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-9.4";"";"";"";"";"";"";
"20.05.2025 13:00";"15.5";"710.8";"755.5";"-0.9";"20";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-7.4";"";"";"";"";"";"";
"20.05.2025 10:00";"12.5";"711.7";"757.0";"-0.7";"24";"Ветер, дующий с востоко-северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-7.5";"";"";"";"";"";"";
"20.05.2025 07:00";"7.2";"712.4";"758.7";"-0.2";"35";"Ветер, дующий с востоко-северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"1.2";"";"";"";"";"";"";"50.0";"-7.5";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"20.05.2025 04:00";"1.3";"712.6";"759.8";"0.7";"56";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-6.7";"";"";"";"";"";"";
"20.05.2025 01:00";"6.3";"711.9";"758.2";"0.6";"37";"Ветер, дующий с востоко-северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-7.6";"";"";"";"";"";"";
"19.05.2025 22:00";"8.9";"711.3";"757.1";"0.8";"32";"Ветер, дующий с северо-востока";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-7.0";"";"";"";"";"";"";
